#Point,X(min),Y(Counts)
640,0.214,6.58E-05
641,0.214,6.66E-05
642,0.214,6.50E-05
643,0.215,6.35E-05
644,0.215,6.30E-05
645,0.215,6.35E-05
646,0.216,6.37E-05
647,0.216,6.43E-05
648,0.216,6.47E-05
649,0.217,6.54E-05
650,0.217,6.58E-05
651,0.217,6.59E-05
652,0.218,6.60E-05
653,0.218,6.60E-05
654,0.218,6.61E-05
655,0.219,6.60E-05
656,0.219,6.48E-05
657,0.219,6.51E-05
658,0.22,6.60E-05
659,0.22,6.85E-05
660,0.22,7.00E-05
661,0.221,7.00E-05
662,0.221,6.87E-05
663,0.221,6.57E-05
664,0.222,6.41E-05
665,0.222,6.34E-05
666,0.222,6.47E-05
667,0.223,6.42E-05
668,0.223,6.33E-05
669,0.223,6.06E-05
670,0.224,5.87E-05
671,0.224,5.57E-05
672,0.224,5.46E-05
673,0.225,5.58E-05
674,0.225,5.85E-05
675,0.225,6.00E-05
676,0.226,5.97E-05
677,0.226,5.88E-05
678,0.226,5.72E-05
679,0.227,5.70E-05
680,0.227,5.73E-05
681,0.227,5.92E-05
682,0.228,6.02E-05
683,0.228,6.02E-05
684,0.228,5.99E-05
685,0.229,6.14E-05
686,0.229,6.42E-05
687,0.229,6.54E-05
688,0.23,6.22E-05
689,0.23,5.77E-05
690,0.23,5.44E-05
691,0.231,5.43E-05
692,0.231,5.59E-05
693,0.231,5.70E-05
694,0.232,5.79E-05
695,0.232,5.77E-05
696,0.232,5.87E-05
697,0.233,6.00E-05
698,0.233,6.15E-05
699,0.233,6.27E-05
700,0.234,6.30E-05
701,0.234,6.21E-05
702,0.234,6.02E-05
703,0.235,5.73E-05
704,0.235,5.59E-05
705,0.235,5.58E-05
706,0.236,5.72E-05
707,0.236,5.76E-05
708,0.236,5.75E-05
709,0.237,5.81E-05
710,0.237,5.88E-05
711,0.237,6.02E-05
712,0.238,6.10E-05
713,0.238,6.23E-05
714,0.238,6.25E-05
715,0.239,6.08E-05
716,0.239,5.79E-05
717,0.239,5.67E-05
718,0.24,5.75E-05
719,0.24,5.98E-05
720,0.24,5.98E-05
721,0.241,5.87E-05
722,0.241,5.75E-05
723,0.241,5.83E-05
724,0.242,5.85E-05
725,0.242,5.89E-05
726,0.242,6.02E-05
727,0.243,6.39E-05
728,0.243,6.61E-05
729,0.243,6.53E-05
730,0.244,6.31E-05
731,0.244,6.43E-05
732,0.244,6.56E-05
733,0.245,6.52E-05
734,0.245,6.28E-05
735,0.245,6.12E-05
736,0.246,6.23E-05
737,0.246,6.32E-05
738,0.246,6.36E-05
739,0.247,6.27E-05
740,0.247,6.14E-05
741,0.247,6.02E-05
742,0.248,5.90E-05
743,0.248,5.91E-05
744,0.248,5.94E-05
745,0.249,6.00E-05
746,0.249,6.01E-05
747,0.249,5.94E-05
748,0.25,5.97E-05
