#Point,X(min),Y(Counts)
616,0.206,4.70852509237832E-05
617,0.206,4.72366611195887E-05
618,0.206,4.94644885491504E-05
619,0.207,5.14328173948014E-05
620,0.207,5.04423484788875E-05
621,0.207,4.84330694100843E-05
622,0.208,4.6398464457514E-05
623,0.208,4.6843426996112E-05
624,0.208,4.77731158875497E-05
625,0.209,4.919938658802E-05
626,0.209,5.02694935103771E-05
627,0.209,5.06176823267226E-05
628,0.210,4.88864367061935E-05
629,0.210,4.75484252091411E-05
630,0.210,4.77413251851657E-05
631,0.211,5.00721759494067E-05
632,0.211,5.19185143337249E-05
633,0.211,5.23543167349179E-05
634,0.212,5.07481860736167E-05
635,0.212,4.92668472539399E-05
636,0.212,4.86516165375695E-05
637,0.213,4.95594296272852E-05
638,0.213,5.07076662628447E-05
639,0.213,5.1980802651442E-05
640,0.214,5.13262379165736E-05
641,0.214,4.97201072552724E-05
642,0.214,4.82188319561314E-05
643,0.215,4.80808928045366E-05
644,0.215,4.74872153889212E-05
645,0.215,4.7369966863411E-05
646,0.216,4.79018949017395E-05
647,0.216,4.92714812783491E-05
648,0.216,4.89435520590712E-05
649,0.217,4.69622911096399E-05
650,0.217,4.50966630977012E-05
651,0.217,4.49931002059551E-05
652,0.218,4.50478452075581E-05
653,0.218,4.51767321331613E-05
654,0.218,4.46729301256181E-05
655,0.219,4.51290994186555E-05
656,0.219,4.61473724810245E-05
657,0.219,4.70782471647361E-05
658,0.220,4.71961419254534E-05
659,0.220,4.61078226396997E-05
660,0.220,4.61884306155901E-05
661,0.221,4.87276990171008E-05
662,0.221,5.13664339931054E-05
663,0.221,5.14282912818056E-05
664,0.222,4.86562505619787E-05
665,0.222,4.64415710590241E-05
666,0.222,4.56350571879199E-05
667,0.223,4.74667393523902E-05
668,0.223,4.966644013453E-05
669,0.223,5.16061033923287E-05
670,0.224,5.10819344929411E-05
671,0.224,4.80955490243845E-05
672,0.224,4.40194432716103E-05
673,0.225,4.13602322590745E-05
674,0.225,4.23267769063221E-05
675,0.225,4.48022486968749E-05
676,0.226,4.62438218524001E-05
677,0.226,4.67058109621207E-05
678,0.226,4.70550776593268E-05
679,0.227,4.71842877025336E-05
680,0.227,4.76212746627273E-05
681,0.227,4.80391878181273E-05
682,0.228,4.88788933900794E-05
683,0.228,4.85023621034852E-05
684,0.228,4.72115516752851E-05
685,0.229,4.6112025635092E-05
686,0.229,4.58374398023164E-05
687,0.229,4.58687994756834E-05
688,0.230,4.78966146421233E-05
689,0.230,4.92401216049821E-05
690,0.230,4.91947525636108E-05
691,0.231,4.86227357435272E-05
692,0.231,4.77585675791151E-05
693,0.231,4.86184248367215E-05
694,0.232,4.83318774862494E-05
695,0.232,4.81984644476504E-05
696,0.232,4.77874483731574E-05
697,0.233,4.75718105373771E-05
698,0.233,4.81499702917474E-05
699,0.233,4.71910768720273E-05
700,0.234,4.49491327796845E-05
701,0.234,4.21567245513765E-05
702,0.234,4.17958182208041E-05
703,0.235,4.24840069188107E-05
704,0.235,4.39349554179311E-05
705,0.235,4.51004344474399E-05
706,0.236,4.67454680982222E-05
707,0.236,4.7253903513538E-05
708,0.236,4.69631531676737E-05
709,0.237,4.62860651626031E-05
710,0.237,4.68562505718423E-05
711,0.237,4.80564302120767E-05
712,0.238,4.80341227647012E-05
713,0.238,4.70944116778248E-05
714,0.238,4.76431516977225E-05
715,0.239,5.00958837786096E-05
716,0.239,5.28869992281852E-05
717,0.239,5.32244117024715E-05
718,0.240,5.21053792868762E-05
719,0.240,5.00597827860567E-05
720,0.240,4.75913159878244E-05
721,0.241,4.61733439833619E-05
722,0.241,4.52115400386636E-05
723,0.241,4.38810724743619E-05
724,0.242,4.40281723799983E-05
725,0.242,4.48671225720567E-05
726,0.242,4.7456609245538E-05
727,0.243,4.8545575999772E-05
728,0.243,4.80902681481317E-05
729,0.243,4.69231729139686E-05
730,0.244,4.51619686185366E-05
731,0.244,4.39252569567325E-05
732,0.244,4.26316445316042E-05
733,0.245,4.28153837535872E-05
734,0.245,4.29532156104053E-05
735,0.245,4.37195334049776E-05
736,0.246,4.26187124278238E-05
737,0.246,4.25076068366002E-05
738,0.246,4.30177663679836E-05
739,0.247,4.43307769487825E-05
740,0.247,4.6089286542063E-05
741,0.247,4.75497189128285E-05
742,0.248,4.82962075227134E-05
743,0.248,4.78071696464315E-05
744,0.248,4.53188742801484E-05
745,0.249,4.32265077394935E-05
746,0.249,4.12512824295721E-05
747,0.249,4.24387445555796E-05
748,0.250,4.26242091269035E-05
749,0.250,4.12458930252692E-05
750,0.250,4.07516834174211E-05
751,0.251,4.07567484708472E-05
752,0.251,4.25702188885575E-05
753,0.251,4.17019550235299E-05
754,0.252,4.14616393890995E-05
755,0.252,4.19331111371919E-05
756,0.252,4.33855691628264E-05
757,0.253,4.51145517268576E-05
758,0.253,4.44815396761076E-05
759,0.253,4.30478335709366E-05
760,0.254,4.17481867395716E-05
761,0.254,4.15226346197659E-05
762,0.254,4.28973927279417E-05
763,0.255,4.36729785713323E-05
764,0.255,4.42992014525887E-05
765,0.255,4.27999740037555E-05
766,0.256,4.27107442142537E-05
767,0.256,4.41814139866481E-05
768,0.256,4.5437307981296E-05
769,0.257,4.57683629317422E-05
770,0.257,4.63028771441722E-05
771,0.257,4.85282256944092E-05
772,0.258,4.91120967374126E-05
773,0.258,4.81278786671987E-05
774,0.258,4.59206339523082E-05
775,0.259,4.45727094045037E-05
776,0.259,4.42750613610956E-05
777,0.259,4.46732532432216E-05
778,0.260,4.55570353861309E-05
779,0.260,4.52033498707058E-05
780,0.260,4.53736192817514E-05
781,0.261,4.27623641013251E-05
782,0.261,4.30289743556964E-05
783,0.261,4.62145094127043E-05
784,0.262,5.11532750366498E-05
785,0.262,5.35421032118022E-05
786,0.262,5.16200054655563E-05
787,0.263,4.97066368276984E-05
788,0.263,4.81701225940383E-05
789,0.263,4.8112360389317E-05
790,0.264,4.87627227454298E-05
791,0.264,4.92851675287498E-05
792,0.264,4.94221367108975E-05
793,0.265,4.796429113087E-05
794,0.265,4.65801564458259E-05
795,0.265,4.48762833260984E-05
796,0.266,4.49885740929593E-05
797,0.266,4.58116841228057E-05
798,0.266,4.66760668767713E-05
799,0.267,4.70326616839014E-05
800,0.267,4.69232802087454E-05
801,0.267,4.71660747225004E-05
802,0.268,4.59954233447887E-05
803,0.268,4.37132819426409E-05
804,0.268,4.1636326385091E-05
805,0.269,4.12889996267792E-05
806,0.269,4.20195389297655E-05
807,0.269,4.27444742388954E-05
808,0.270,4.51937587042839E-05
809,0.270,4.81859639895236E-05
810,0.270,4.97884305958628E-05
811,0.271,4.88216701257884E-05
812,0.271,4.7358219935268E-05
813,0.271,4.56081150994987E-05
814,0.272,4.38921731672979E-05
815,0.272,4.18203887246775E-05
816,0.272,4.10467440534545E-05
817,0.273,4.1289861684813E-05
818,0.273,4.11337107864583E-05
819,0.273,4.05896041743332E-05
