3.254-3.303 min,,
#Point,X(Thompsons),Y(Counts)
211,328.8,9.66348362
212,330.9,6.110144138
213,331,111.4338913
214,331.9,25.62312508
215,340.9,20.58443451
216,342.9,4.615698338
217,345.9,43.66165924
218,346.1,23.04536247
219,354.8,9.449043274
220,355,5.317064285
221,404.9,46.59078217
222,405.1,24.37829781
223,406.1,10.04451656
