#Point,X(min),Y(Counts)
476,0.159,5.20E-05
477,0.159,5.17E-05
478,0.16,5.10E-05
479,0.16,5.16E-05
480,0.16,5.44E-05
481,0.161,5.83E-05
482,0.161,5.89E-05
483,0.161,5.69E-05
484,0.162,5.31E-05
485,0.162,5.10E-05
486,0.162,4.81E-05
487,0.163,4.68E-05
488,0.163,4.62E-05
489,0.163,4.84E-05
490,0.164,5.20E-05
491,0.164,5.52E-05
492,0.164,5.73E-05
493,0.165,5.79E-05
494,0.165,5.80E-05
495,0.165,5.62E-05
496,0.166,5.43E-05
497,0.166,5.27E-05
498,0.166,5.26E-05
499,0.167,5.44E-05
500,0.167,5.85E-05
501,0.167,6.41E-05
502,0.168,6.54E-05
503,0.168,6.17E-05
504,0.168,5.59E-05
505,0.169,5.43E-05
506,0.169,5.75E-05
507,0.169,6.14E-05
508,0.17,6.06E-05
509,0.17,5.80E-05
510,0.17,5.83E-05
511,0.171,6.21E-05
512,0.171,6.39E-05
513,0.171,6.20E-05
514,0.172,5.84E-05
515,0.172,5.57E-05
516,0.172,5.43E-05
517,0.173,5.37E-05
518,0.173,5.46E-05
519,0.173,5.49E-05
520,0.174,5.50E-05
521,0.174,5.34E-05
522,0.174,5.19E-05
523,0.175,5.21E-05
524,0.175,5.65E-05
525,0.175,6.10E-05
526,0.176,6.21E-05
527,0.176,5.86E-05
528,0.176,5.48E-05
529,0.177,5.25E-05
530,0.177,5.08E-05
531,0.177,4.69E-05
532,0.178,4.39E-05
533,0.178,4.25E-05
534,0.178,4.65E-05
535,0.179,5.15E-05
536,0.179,5.62E-05
537,0.179,5.85E-05
538,0.18,5.77E-05
539,0.18,5.47E-05
540,0.18,5.15E-05
541,0.181,5.21E-05
542,0.181,5.62E-05
543,0.181,5.93E-05
544,0.182,5.85E-05
545,0.182,5.57E-05
546,0.182,5.30E-05
547,0.183,5.07E-05
548,0.183,4.90E-05
549,0.183,4.91E-05
550,0.184,5.06E-05
551,0.184,5.11E-05
552,0.184,4.87E-05
553,0.185,4.67E-05
554,0.185,4.75E-05
555,0.185,5.04E-05
556,0.186,5.35E-05
557,0.186,5.35E-05
558,0.186,5.32E-05
559,0.187,5.07E-05
560,0.187,4.91E-05
561,0.187,4.70E-05
562,0.188,4.65E-05
563,0.188,4.73E-05
564,0.188,4.89E-05
565,0.189,4.93E-05
566,0.189,4.85E-05
567,0.189,4.67E-05
568,0.19,4.63E-05
569,0.19,4.73E-05
570,0.19,4.95E-05
571,0.191,5.22E-05
572,0.191,5.30E-05
573,0.191,5.43E-05
574,0.192,5.65E-05
575,0.192,5.89E-05
576,0.192,5.89E-05
577,0.193,5.61E-05
578,0.193,5.57E-05
579,0.193,5.73E-05
580,0.194,5.80E-05
581,0.194,5.72E-05
582,0.194,5.45E-05
583,0.195,5.43E-05
584,0.195,5.41E-05
585,0.195,5.36E-05
586,0.196,5.38E-05
587,0.196,5.34E-05
588,0.196,5.11E-05
589,0.197,4.92E-05
590,0.197,4.64E-05
591,0.197,4.87E-05
592,0.198,5.23E-05
593,0.198,5.68E-05
594,0.198,5.89E-05
595,0.199,5.73E-05
596,0.199,5.60E-05
597,0.199,5.58E-05
598,0.2,5.85E-05
599,0.2,6.09E-05
600,0.2,5.92E-05
601,0.201,5.32E-05
602,0.201,5.02E-05
603,0.201,5.17E-05
604,0.202,5.45E-05
605,0.202,5.48E-05
606,0.202,5.53E-05
607,0.203,5.51E-05
608,0.203,5.48E-05
609,0.203,5.48E-05
610,0.204,5.45E-05
611,0.204,5.36E-05
612,0.204,5.18E-05
613,0.205,5.10E-05
